id,title,link,description,price_numeric,original_price,discount_percent,rating,reviews_count,in_stock,scraped_at,website,category,hour,day_of_week,month,title_length,has_description,has_discount,has_rating,high_rating,website_encoded,category_encoded,deal_quality_score
3500,18694978 Lenovo Ideapad Slim 3 15 6 Laptop Fhd Ips I3 1315U 8Gb Ddr5 Ram 256Gb Ssd 300 Free Shipping,https://slickdeals.net/f/18694978-lenovo-ideapad-slim-3-15-6-laptop-fhd-ips-i3-1315u-8gb-ddr5-ram-256gb-ssd-300-free-shipping,,299.99,,0.0,0.0,0.0,1,2025-10-14 15:13:52,slickdeals,laptop,15,1,10,100,0,0,0,0,1,11,0.0
3550,18624346 Amd Powercolor Reaper Amd Radeon Rx 9070 Xt 16Gb Gddr6 669 99 Free Shipping,https://slickdeals.net/f/18624346-amd-powercolor-reaper-amd-radeon-rx-9070-xt-16gb-gddr6-669-99-free-shipping,,669.99,,0.0,0.0,0.0,1,2025-10-14 15:13:52,slickdeals,computer-parts,15,1,10,84,0,0,0,0,1,6,0.0
3681,18644668 2Tb Lexar Nm790 Pcie 4 0 X4 Nvme M 2 Internal Solid State Drive Ssd 109 99 Free Shipping,https://slickdeals.net/f/18644668-2tb-lexar-nm790-pcie-4-0-x4-nvme-m-2-internal-solid-state-drive-ssd-109-99-free-shipping,,109.99,,0.0,0.0,0.0,1,2025-10-14 15:13:52,slickdeals,drives,15,1,10,97,0,0,0,0,1,10,0.0
3682,18607153 2Tb Lexar Nm800 Pro Nvme Gen4X4 M 2 Internal Ssd 130 W Heatsink 140 Free Shipping,https://slickdeals.net/f/18607153-2tb-lexar-nm800-pro-nvme-gen4x4-m-2-internal-ssd-130-w-heatsink-140-free-shipping,,129.99,,0.0,0.0,0.0,1,2025-10-14 15:13:52,slickdeals,drives,15,1,10,90,0,0,0,0,1,10,0.0
3683,18664807 Inland Qn450 1Tb Ssd 3D Qlc Nand Pcie Gen 4 X4 Nvme M 2 2280 Internal Ssd 64 99,https://slickdeals.net/f/18664807-inland-qn450-1tb-ssd-3d-qlc-nand-pcie-gen-4-x4-nvme-m-2-2280-internal-ssd-64-99,,64.99,,0.0,0.0,0.0,1,2025-10-14 15:13:52,slickdeals,drives,15,1,10,88,0,0,0,0,1,10,0.0
3684,18645826 92 Crucial X10 Pro 1Tb Portable Ssd Up To 2100Mb S Read 2000Mb S Write Black Ct1000X10Pross,https://slickdeals.net/f/18645826-92-crucial-x10-pro-1tb-portable-ssd-up-to-2100mb-s-read-2000mb-s-write-black-ct1000x10prossd902,,92.0,,0.0,0.0,0.0,1,2025-10-14 15:13:52,slickdeals,drives,15,1,10,100,0,0,0,0,1,10,0.0
3884,18667285 Roku Players On Sale At Roku Newest Version Stick Plus 25 Ultra 69 24 99,https://slickdeals.net/f/18667285-roku-players-on-sale-at-roku-newest-version-stick-plus-25-ultra-69-24-99,,24.99,,0.0,0.0,0.0,1,2025-10-14 15:13:52,slickdeals,tv,15,1,10,81,0,0,0,0,1,27,0.0
3885,18620077 Tcl 55 65 75 85 Class Qm6K Series 4K Uhd Hdr Qd Mini Led Smart Tv With Google Tv 2025 Start,https://slickdeals.net/f/18620077-tcl-55-65-75-85-class-qm6k-series-4k-uhd-hdr-qd-mini-led-smart-tv-with-google-tv-2025-starting-at-499-99,,749.99,,0.0,0.0,0.0,1,2025-10-14 15:13:52,slickdeals,tv,15,1,10,100,0,0,0,0,1,27,0.0
3295,Apparel & Fashion,https://bensbargains.com/c/apparel/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,17,0,0,0,0,0,9,0.0
3296,Men's Accessories,https://bensbargains.com/c/mens-accessories/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,17,0,0,0,0,0,9,0.0
3297,Men's Active/Casual Apparel,https://bensbargains.com/c/mens-activewear/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,27,0,0,0,0,0,9,0.0
3298,Men's Active/Casual Footwear,https://bensbargains.com/c/mens-casual-shoes/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,28,0,0,0,0,0,9,0.0
3299,Men's Professional Apparel,https://bensbargains.com/c/mens-professional-apparel/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,26,0,0,0,0,0,9,0.0
3300,Men's Professional Footwear,https://bensbargains.com/c/mens-professional-shoes/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,27,0,0,0,0,0,9,0.0
3301,"Wallets, Bags & Backpacks",https://bensbargains.com/c/mens-wallets-bags/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,25,0,0,0,0,0,9,0.0
3302,Women's Accessories,https://bensbargains.com/c/womens-accessories/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,19,0,0,0,0,0,9,0.0
3303,Women's Apparel,https://bensbargains.com/c/womens-apparel/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,15,0,0,0,0,0,9,0.0
3304,Women's Footwear,https://bensbargains.com/c/womens-shoes/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,16,0,0,0,0,0,9,0.0
3305,Auto Accessories,https://bensbargains.com/c/auto-accessories/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,16,0,0,0,0,0,9,0.0
3306,Dash Cams & GPS,https://bensbargains.com/c/dash-cams/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,15,0,0,0,0,0,9,0.0
3307,Maintenance & Car Parts,https://bensbargains.com/c/auto-parts/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,23,0,0,0,0,0,9,0.0
3308,Single Board Computers,https://bensbargains.com/c/single-board-computers/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,22,0,0,0,0,0,9,0.0
3309,Computer Accessories,https://bensbargains.com/c/computer-accessories/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,20,0,0,0,0,0,9,0.0
3310,External Storage,https://bensbargains.com/c/external-storage/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,16,0,0,0,0,0,9,0.0
3311,Printers & Scanners,https://bensbargains.com/c/printers-scanners/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,19,0,0,0,0,0,9,0.0
3312,Routers & Networking,https://bensbargains.com/c/routers-networking/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,20,0,0,0,0,0,9,0.0
3313,Other Accessories,https://bensbargains.com/c/misc-computer-accessories/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,17,0,0,0,0,0,9,0.0
3314,Computer Components,https://bensbargains.com/c/computer-components/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,19,0,0,0,0,0,9,0.0
3315,Internal Storage,https://bensbargains.com/c/internal-storage/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,16,0,0,0,0,0,9,0.0
3316,Other Components,https://bensbargains.com/c/misc-computer-components/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,16,0,0,0,0,0,9,0.0
3317,Electronics & Tech,https://bensbargains.com/c/electronics-tech/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,18,0,0,0,0,0,9,0.0
3318,"Batteries, Cables & Surge Protectors",https://bensbargains.com/c/electronics-cables/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,36,0,0,0,0,0,9,0.0
3319,Bluetooth Speakers,https://bensbargains.com/c/bluetooth-speakers/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,18,0,0,0,0,0,9,0.0
3320,Wired Headphones,https://bensbargains.com/c/wired-headphones/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,16,0,0,0,0,0,9,0.0
3321,Wireless Headphones,https://bensbargains.com/c/wireless-headphones/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,19,0,0,0,0,0,9,0.0
3322,Other Electronics,https://bensbargains.com/c/misc-electronics-tech/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,17,0,0,0,0,0,9,0.0
3323,Books & Magazines,https://bensbargains.com/c/books-magazines/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,17,0,0,0,0,0,9,0.0
3324,"Movies, TV & Music",https://bensbargains.com/c/movies-tv-music/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,18,0,0,0,0,0,9,0.0
3325,Musical Instruments & Gear,https://bensbargains.com/c/musical-instruments-gear/,,0.0,,0.0,0.0,0.0,1,2025-10-14 15:04:41,bensbargains,desktop-computers,15,1,10,26,0,0,0,0,0,9,0.0
