price_numeric,discount_percent,rating,reviews_count,title_length,has_description,has_discount,has_rating,high_rating,hour,day_of_week,month,website_encoded,category_encoded,deal_quality_score
0.0,0.0,0.0,0.0,63,0,0,0,0,10,0,10,0,9,0.0
0.0,0.0,0.0,0.0,75,0,0,0,0,10,0,10,0,9,0.0
0.0,0.0,0.0,0.0,30,0,0,0,0,10,0,10,0,31,0.0
0.0,0.0,0.0,0.0,57,0,0,0,0,10,0,10,0,9,0.0
0.0,0.0,0.0,0.0,109,0,0,0,0,10,0,10,0,9,0.0
0.0,0.0,0.0,0.0,90,0,0,0,0,10,0,10,0,9,0.0
0.0,0.0,0.0,0.0,61,0,0,0,0,10,0,10,0,9,0.0
0.0,0.0,0.0,0.0,91,0,0,0,0,10,0,10,0,9,0.0
0.0,0.0,0.0,0.0,71,0,0,0,0,10,0,10,0,9,0.0
0.0,0.0,0.0,0.0,39,0,0,0,0,10,0,10,0,9,0.0
0.0,0.0,0.0,0.0,90,0,0,0,0,10,0,10,0,9,0.0
0.0,0.0,0.0,0.0,30,0,0,0,0,10,0,10,0,0,0.0
219.0,0.0,0.0,0.0,93,0,0,0,0,10,0,10,1,26,0.0
109.99,0.0,0.0,0.0,100,0,0,0,0,10,0,10,1,26,0.0
89.99,0.0,0.0,0.0,66,0,0,0,0,10,0,10,1,6,0.0
8.99,0.0,0.0,0.0,69,0,0,0,0,10,0,10,1,13,0.0
355.0,0.0,0.0,0.0,90,0,0,0,0,10,0,10,1,13,0.0
279.0,0.0,0.0,0.0,82,0,0,0,0,10,0,10,1,13,0.0
99.99,0.0,0.0,0.0,94,0,0,0,0,10,0,10,1,15,0.0
159.0,0.0,0.0,0.0,100,0,0,0,0,10,0,10,1,15,0.0
158.0,0.0,0.0,0.0,97,0,0,0,0,10,0,10,1,18,0.0
107.24,0.0,0.0,0.0,89,0,0,0,0,10,0,10,1,18,0.0
150.05,0.0,0.0,0.0,100,0,0,0,0,10,0,10,1,10,0.0
130.0,0.0,0.0,0.0,84,0,0,0,0,10,0,10,1,8,0.0
219.0,0.0,0.0,0.0,100,0,0,0,0,10,0,10,1,8,0.0
288.15,0.0,0.0,0.0,68,0,0,0,0,10,0,10,1,19,0.0
37.59,0.0,0.0,0.0,100,0,0,0,0,10,0,10,1,19,0.0
292.69,0.0,0.0,0.0,83,0,0,0,0,10,0,10,1,26,0.0
104.0,0.0,0.0,0.0,99,0,0,0,0,10,0,10,1,11,0.0
149.0,0.0,0.0,0.0,100,0,0,0,0,10,0,10,1,11,0.0
449.99,0.0,0.0,0.0,89,0,0,0,0,10,0,10,1,11,0.0
749.99,0.0,0.0,0.0,81,0,0,0,0,10,0,10,1,11,0.0
899.99,0.0,0.0,0.0,87,0,0,0,0,10,0,10,1,11,0.0
299.0,0.0,0.0,0.0,100,0,0,0,0,10,0,10,1,11,0.0
300.0,0.0,0.0,0.0,73,0,0,0,0,10,0,10,1,11,0.0
139.31,0.0,0.0,0.0,51,0,0,0,0,10,0,10,1,2,0.0
7.99,0.0,0.0,0.0,52,0,0,0,0,10,0,10,1,2,0.0
51.0,0.0,0.0,0.0,100,0,0,0,0,10,0,10,1,2,0.0
19.99,0.0,0.0,0.0,91,0,0,0,0,10,0,10,1,2,0.0
139.0,0.0,0.0,0.0,100,0,0,0,0,10,0,10,1,2,0.0
899.0,0.0,0.0,0.0,77,0,0,0,0,10,0,10,1,27,0.0
9.99,0.0,0.0,0.0,87,0,0,0,0,10,0,10,1,3,0.0
179.99,0.0,0.0,0.0,100,0,0,0,0,10,0,10,1,3,0.0
19.99,0.0,0.0,0.0,65,0,0,0,0,10,0,10,1,3,0.0
217.0,0.0,0.0,0.0,100,0,0,0,0,10,0,10,1,3,0.0
44.16,0.0,0.0,0.0,77,0,0,0,0,10,0,10,1,19,0.0
27.99,0.0,0.0,0.0,100,0,0,0,0,10,0,10,1,3,0.0
107.99,0.0,0.0,0.0,77,0,0,0,0,10,0,10,1,26,0.0
19.97,0.0,0.0,0.0,77,0,0,0,0,10,0,10,1,26,0.0
139.0,0.0,0.0,0.0,96,0,0,0,0,10,0,10,1,26,0.0
19.47,0.0,0.0,0.0,81,0,0,0,0,10,0,10,1,26,0.0
199.0,0.0,0.0,0.0,83,0,0,0,0,10,0,10,1,27,0.0
0.0,0.0,0.0,0.0,30,0,0,0,0,22,5,10,0,31,0.0
0.0,0.0,0.0,0.0,36,0,0,0,0,22,5,10,0,0,0.0
0.0,0.0,0.0,0.0,69,0,0,0,0,22,5,10,0,9,0.0
0.0,0.0,0.0,0.0,55,0,0,0,0,22,5,10,0,9,0.0
0.0,0.0,0.0,0.0,82,0,0,0,0,22,5,10,0,9,0.0
0.0,0.0,0.0,0.0,63,0,0,0,0,22,5,10,0,9,0.0
0.0,0.0,0.0,0.0,82,0,0,0,0,22,5,10,0,9,0.0
0.0,0.0,0.0,0.0,71,0,0,0,0,22,5,10,0,9,0.0
0.0,0.0,0.0,0.0,100,0,0,0,0,22,5,10,0,9,0.0
0.0,0.0,0.0,0.0,102,0,0,0,0,22,5,10,0,9,0.0
0.0,0.0,0.0,0.0,86,0,0,0,0,22,5,10,0,9,0.0
0.0,0.0,0.0,0.0,73,0,0,0,0,22,5,10,0,9,0.0
70.46,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,3,0.0
